image_id,class_id,class_name,image_path
ILSVRC2012_val_00002357,12,house_finch,imagenet\raw\ILSVRC2012_val_00002357.JPEG
ILSVRC2012_val_00002468,275,African_hunting_dog,imagenet\raw\ILSVRC2012_val_00002468.JPEG
ILSVRC2012_val_00002769,155,Shih-Tzu,imagenet\raw\ILSVRC2012_val_00002769.JPEG
ILSVRC2012_val_00002794,238,Greater_Swiss_Mountain_dog,imagenet\raw\ILSVRC2012_val_00002794.JPEG
ILSVRC2012_val_00002953,129,spoonbill,imagenet\raw\ILSVRC2012_val_00002953.JPEG
ILSVRC2012_val_00003259,94,hummingbird,imagenet\raw\ILSVRC2012_val_00003259.JPEG
ILSVRC2012_val_00003732,518,crash_helmet,imagenet\raw\ILSVRC2012_val_00003732.JPEG
ILSVRC2012_val_00003924,627,limousine,imagenet\raw\ILSVRC2012_val_00003924.JPEG
ILSVRC2012_val_00004210,314,cockroach,imagenet\raw\ILSVRC2012_val_00004210.JPEG
ILSVRC2012_val_00004258,124,crayfish,imagenet\raw\ILSVRC2012_val_00004258.JPEG
ILSVRC2012_val_00004300,330,wood_rabbit,imagenet\raw\ILSVRC2012_val_00004300.JPEG
ILSVRC2012_val_00004344,17,jay,imagenet\raw\ILSVRC2012_val_00004344.JPEG
ILSVRC2012_val_00004437,991,coral_fungus,imagenet\raw\ILSVRC2012_val_00004437.JPEG
ILSVRC2012_val_00004451,141,redshank,imagenet\raw\ILSVRC2012_val_00004451.JPEG
ILSVRC2012_val_00004482,750,quilt,imagenet\raw\ILSVRC2012_val_00004482.JPEG
ILSVRC2012_val_00004559,18,magpie,imagenet\raw\ILSVRC2012_val_00004559.JPEG
ILSVRC2012_val_00004563,235,German_shepherd,imagenet\raw\ILSVRC2012_val_00004563.JPEG
ILSVRC2012_val_00004572,133,bittern,imagenet\raw\ILSVRC2012_val_00004572.JPEG
ILSVRC2012_val_00004582,56,king_snake,imagenet\raw\ILSVRC2012_val_00004582.JPEG
ILSVRC2012_val_00004584,360,otter,imagenet\raw\ILSVRC2012_val_00004584.JPEG
ILSVRC2012_val_00004674,195,Boston_bull,imagenet\raw\ILSVRC2012_val_00004674.JPEG
ILSVRC2012_val_00004684,175,otterhound,imagenet\raw\ILSVRC2012_val_00004684.JPEG
ILSVRC2012_val_00004747,12,house_finch,imagenet\raw\ILSVRC2012_val_00004747.JPEG
ILSVRC2012_val_00004986,334,porcupine,imagenet\raw\ILSVRC2012_val_00004986.JPEG
ILSVRC2012_val_00004996,174,Norwegian_elkhound,imagenet\raw\ILSVRC2012_val_00004996.JPEG
ILSVRC2012_val_00005238,267,standard_poodle,imagenet\raw\ILSVRC2012_val_00005238.JPEG
ILSVRC2012_val_00005291,162,beagle,imagenet\raw\ILSVRC2012_val_00005291.JPEG
ILSVRC2012_val_00005363,144,pelican,imagenet\raw\ILSVRC2012_val_00005363.JPEG
ILSVRC2012_val_00005454,346,water_buffalo,imagenet\raw\ILSVRC2012_val_00005454.JPEG
ILSVRC2012_val_00005567,11,goldfinch,imagenet\raw\ILSVRC2012_val_00005567.JPEG
ILSVRC2012_val_00005575,249,malamute,imagenet\raw\ILSVRC2012_val_00005575.JPEG
ILSVRC2012_val_00005634,92,bee_eater,imagenet\raw\ILSVRC2012_val_00005634.JPEG
ILSVRC2012_val_00005746,263,Pembroke,imagenet\raw\ILSVRC2012_val_00005746.JPEG
ILSVRC2012_val_00005767,206,curly-coated_retriever,imagenet\raw\ILSVRC2012_val_00005767.JPEG
ILSVRC2012_val_00005786,322,ringlet,imagenet\raw\ILSVRC2012_val_00005786.JPEG
ILSVRC2012_val_00005844,994,stinkhorn,imagenet\raw\ILSVRC2012_val_00005844.JPEG
ILSVRC2012_val_00005852,334,porcupine,imagenet\raw\ILSVRC2012_val_00005852.JPEG
ILSVRC2012_val_00005867,184,Irish_terrier,imagenet\raw\ILSVRC2012_val_00005867.JPEG
ILSVRC2012_val_00005873,94,hummingbird,imagenet\raw\ILSVRC2012_val_00005873.JPEG
ILSVRC2012_val_00005904,325,sulphur_butterfly,imagenet\raw\ILSVRC2012_val_00005904.JPEG
ILSVRC2012_val_00005986,546,electric_guitar,imagenet\raw\ILSVRC2012_val_00005986.JPEG
ILSVRC2012_val_00006024,82,ruffed_grouse,imagenet\raw\ILSVRC2012_val_00006024.JPEG
ILSVRC2012_val_00006035,185,Norfolk_terrier,imagenet\raw\ILSVRC2012_val_00006035.JPEG
ILSVRC2012_val_00006048,599,honeycomb,imagenet\raw\ILSVRC2012_val_00006048.JPEG
ILSVRC2012_val_00006049,100,black_swan,imagenet\raw\ILSVRC2012_val_00006049.JPEG
ILSVRC2012_val_00006125,338,guinea_pig,imagenet\raw\ILSVRC2012_val_00006125.JPEG
ILSVRC2012_val_00006187,841,sweatshirt,imagenet\raw\ILSVRC2012_val_00006187.JPEG
ILSVRC2012_val_00006192,136,European_gallinule,imagenet\raw\ILSVRC2012_val_00006192.JPEG
ILSVRC2012_val_00006200,354,Arabian_camel,imagenet\raw\ILSVRC2012_val_00006200.JPEG
ILSVRC2012_val_00006231,137,American_coot,imagenet\raw\ILSVRC2012_val_00006231.JPEG
ILSVRC2012_val_00006283,361,skunk,imagenet\raw\ILSVRC2012_val_00006283.JPEG
ILSVRC2012_val_00006321,16,bulbul,imagenet\raw\ILSVRC2012_val_00006321.JPEG
ILSVRC2012_val_00006350,295,American_black_bear,imagenet\raw\ILSVRC2012_val_00006350.JPEG
ILSVRC2012_val_00006382,170,Irish_wolfhound,imagenet\raw\ILSVRC2012_val_00006382.JPEG
ILSVRC2012_val_00006396,168,redbone,imagenet\raw\ILSVRC2012_val_00006396.JPEG
ILSVRC2012_val_00006427,346,water_buffalo,imagenet\raw\ILSVRC2012_val_00006427.JPEG
ILSVRC2012_val_00006457,93,hornbill,imagenet\raw\ILSVRC2012_val_00006457.JPEG
ILSVRC2012_val_00006480,68,sidewinder,imagenet\raw\ILSVRC2012_val_00006480.JPEG
ILSVRC2012_val_00006484,263,Pembroke,imagenet\raw\ILSVRC2012_val_00006484.JPEG
ILSVRC2012_val_00006487,128,black_stork,imagenet\raw\ILSVRC2012_val_00006487.JPEG
ILSVRC2012_val_00006544,158,toy_terrier,imagenet\raw\ILSVRC2012_val_00006544.JPEG
ILSVRC2012_val_00006551,897,washer,imagenet\raw\ILSVRC2012_val_00006551.JPEG
ILSVRC2012_val_00006565,965,burrito,imagenet\raw\ILSVRC2012_val_00006565.JPEG
ILSVRC2012_val_00006617,412,ashcan,imagenet\raw\ILSVRC2012_val_00006617.JPEG
ILSVRC2012_val_00006630,218,Welsh_springer_spaniel,imagenet\raw\ILSVRC2012_val_00006630.JPEG
ILSVRC2012_val_00006663,418,ballpoint,imagenet\raw\ILSVRC2012_val_00006663.JPEG
ILSVRC2012_val_00006690,68,sidewinder,imagenet\raw\ILSVRC2012_val_00006690.JPEG
ILSVRC2012_val_00006749,928,ice_cream,imagenet\raw\ILSVRC2012_val_00006749.JPEG
ILSVRC2012_val_00006756,950,orange,imagenet\raw\ILSVRC2012_val_00006756.JPEG
ILSVRC2012_val_00006793,295,American_black_bear,imagenet\raw\ILSVRC2012_val_00006793.JPEG
ILSVRC2012_val_00006817,65,sea_snake,imagenet\raw\ILSVRC2012_val_00006817.JPEG
ILSVRC2012_val_00006861,433,bathing_cap,imagenet\raw\ILSVRC2012_val_00006861.JPEG
ILSVRC2012_val_00006864,745,projector,imagenet\raw\ILSVRC2012_val_00006864.JPEG
ILSVRC2012_val_00006866,261,keeshond,imagenet\raw\ILSVRC2012_val_00006866.JPEG
ILSVRC2012_val_00006920,241,EntleBucher,imagenet\raw\ILSVRC2012_val_00006920.JPEG
ILSVRC2012_val_00006935,176,Saluki,imagenet\raw\ILSVRC2012_val_00006935.JPEG
ILSVRC2012_val_00006981,207,golden_retriever,imagenet\raw\ILSVRC2012_val_00006981.JPEG
ILSVRC2012_val_00007002,176,Saluki,imagenet\raw\ILSVRC2012_val_00007002.JPEG
ILSVRC2012_val_00007011,140,red-backed_sandpiper,imagenet\raw\ILSVRC2012_val_00007011.JPEG
ILSVRC2012_val_00007056,233,Bouvier_des_Flandres,imagenet\raw\ILSVRC2012_val_00007056.JPEG
ILSVRC2012_val_00007064,609,jeep,imagenet\raw\ILSVRC2012_val_00007064.JPEG
ILSVRC2012_val_00007082,308,fly,imagenet\raw\ILSVRC2012_val_00007082.JPEG
ILSVRC2012_val_00007172,142,dowitcher,imagenet\raw\ILSVRC2012_val_00007172.JPEG
ILSVRC2012_val_00007178,163,bloodhound,imagenet\raw\ILSVRC2012_val_00007178.JPEG
ILSVRC2012_val_00007216,249,malamute,imagenet\raw\ILSVRC2012_val_00007216.JPEG
ILSVRC2012_val_00007231,18,magpie,imagenet\raw\ILSVRC2012_val_00007231.JPEG
ILSVRC2012_val_00007247,944,artichoke,imagenet\raw\ILSVRC2012_val_00007247.JPEG
ILSVRC2012_val_00007254,412,ashcan,imagenet\raw\ILSVRC2012_val_00007254.JPEG
ILSVRC2012_val_00007275,814,speedboat,imagenet\raw\ILSVRC2012_val_00007275.JPEG
ILSVRC2012_val_00007283,107,jellyfish,imagenet\raw\ILSVRC2012_val_00007283.JPEG
ILSVRC2012_val_00007312,80,black_grouse,imagenet\raw\ILSVRC2012_val_00007312.JPEG
ILSVRC2012_val_00007334,138,bustard,imagenet\raw\ILSVRC2012_val_00007334.JPEG
ILSVRC2012_val_00007345,109,brain_coral,imagenet\raw\ILSVRC2012_val_00007345.JPEG
ILSVRC2012_val_00007356,189,Lakeland_terrier,imagenet\raw\ILSVRC2012_val_00007356.JPEG
ILSVRC2012_val_00007404,148,killer_whale,imagenet\raw\ILSVRC2012_val_00007404.JPEG
ILSVRC2012_val_00007406,278,kit_fox,imagenet\raw\ILSVRC2012_val_00007406.JPEG
ILSVRC2012_val_00007524,140,red-backed_sandpiper,imagenet\raw\ILSVRC2012_val_00007524.JPEG
ILSVRC2012_val_00007535,239,Bernese_mountain_dog,imagenet\raw\ILSVRC2012_val_00007535.JPEG
ILSVRC2012_val_00007651,141,redshank,imagenet\raw\ILSVRC2012_val_00007651.JPEG
ILSVRC2012_val_00007782,273,dingo,imagenet\raw\ILSVRC2012_val_00007782.JPEG
ILSVRC2012_val_00007806,749,quill,imagenet\raw\ILSVRC2012_val_00007806.JPEG
ILSVRC2012_val_00007808,283,Persian_cat,imagenet\raw\ILSVRC2012_val_00007808.JPEG
ILSVRC2012_val_00007837,232,Border_collie,imagenet\raw\ILSVRC2012_val_00007837.JPEG
ILSVRC2012_val_00007854,915,yurt,imagenet\raw\ILSVRC2012_val_00007854.JPEG
ILSVRC2012_val_00007858,273,dingo,imagenet\raw\ILSVRC2012_val_00007858.JPEG
ILSVRC2012_val_00007916,317,leafhopper,imagenet\raw\ILSVRC2012_val_00007916.JPEG
ILSVRC2012_val_00007930,110,flatworm,imagenet\raw\ILSVRC2012_val_00007930.JPEG
ILSVRC2012_val_00007971,220,Sussex_spaniel,imagenet\raw\ILSVRC2012_val_00007971.JPEG
ILSVRC2012_val_00007980,333,hamster,imagenet\raw\ILSVRC2012_val_00007980.JPEG
ILSVRC2012_val_00008035,132,American_egret,imagenet\raw\ILSVRC2012_val_00008035.JPEG
ILSVRC2012_val_00008135,133,bittern,imagenet\raw\ILSVRC2012_val_00008135.JPEG
ILSVRC2012_val_00008137,268,Mexican_hairless,imagenet\raw\ILSVRC2012_val_00008137.JPEG
ILSVRC2012_val_00008209,24,great_grey_owl,imagenet\raw\ILSVRC2012_val_00008209.JPEG
ILSVRC2012_val_00008217,228,komondor,imagenet\raw\ILSVRC2012_val_00008217.JPEG
ILSVRC2012_val_00008228,381,spider_monkey,imagenet\raw\ILSVRC2012_val_00008228.JPEG
ILSVRC2012_val_00008236,92,bee_eater,imagenet\raw\ILSVRC2012_val_00008236.JPEG
ILSVRC2012_val_00008302,133,bittern,imagenet\raw\ILSVRC2012_val_00008302.JPEG
ILSVRC2012_val_00008375,163,bloodhound,imagenet\raw\ILSVRC2012_val_00008375.JPEG
ILSVRC2012_val_00008502,183,Kerry_blue_terrier,imagenet\raw\ILSVRC2012_val_00008502.JPEG
ILSVRC2012_val_00008566,87,African_grey,imagenet\raw\ILSVRC2012_val_00008566.JPEG
ILSVRC2012_val_00008588,103,platypus,imagenet\raw\ILSVRC2012_val_00008588.JPEG
ILSVRC2012_val_00008636,356,weasel,imagenet\raw\ILSVRC2012_val_00008636.JPEG
ILSVRC2012_val_00008737,143,oystercatcher,imagenet\raw\ILSVRC2012_val_00008737.JPEG
ILSVRC2012_val_00008842,137,American_coot,imagenet\raw\ILSVRC2012_val_00008842.JPEG
ILSVRC2012_val_00008860,223,schipperke,imagenet\raw\ILSVRC2012_val_00008860.JPEG
ILSVRC2012_val_00008880,261,keeshond,imagenet\raw\ILSVRC2012_val_00008880.JPEG
ILSVRC2012_val_00008885,229,Old_English_sheepdog,imagenet\raw\ILSVRC2012_val_00008885.JPEG
ILSVRC2012_val_00008938,277,red_fox,imagenet\raw\ILSVRC2012_val_00008938.JPEG
ILSVRC2012_val_00008997,171,Italian_greyhound,imagenet\raw\ILSVRC2012_val_00008997.JPEG
ILSVRC2012_val_00009067,361,skunk,imagenet\raw\ILSVRC2012_val_00009067.JPEG
ILSVRC2012_val_00009092,15,robin,imagenet\raw\ILSVRC2012_val_00009092.JPEG
ILSVRC2012_val_00009093,253,basenji,imagenet\raw\ILSVRC2012_val_00009093.JPEG
ILSVRC2012_val_00009100,23,vulture,imagenet\raw\ILSVRC2012_val_00009100.JPEG
ILSVRC2012_val_00009239,12,house_finch,imagenet\raw\ILSVRC2012_val_00009239.JPEG
ILSVRC2012_val_00009314,274,dhole,imagenet\raw\ILSVRC2012_val_00009314.JPEG
ILSVRC2012_val_00009324,261,keeshond,imagenet\raw\ILSVRC2012_val_00009324.JPEG
ILSVRC2012_val_00009336,278,kit_fox,imagenet\raw\ILSVRC2012_val_00009336.JPEG
ILSVRC2012_val_00009471,405,airship,imagenet\raw\ILSVRC2012_val_00009471.JPEG
ILSVRC2012_val_00009485,125,hermit_crab,imagenet\raw\ILSVRC2012_val_00009485.JPEG
ILSVRC2012_val_00009624,176,Saluki,imagenet\raw\ILSVRC2012_val_00009624.JPEG
ILSVRC2012_val_00009660,230,Shetland_sheepdog,imagenet\raw\ILSVRC2012_val_00009660.JPEG
ILSVRC2012_val_00009781,91,coucal,imagenet\raw\ILSVRC2012_val_00009781.JPEG
ILSVRC2012_val_00009848,201,silky_terrier,imagenet\raw\ILSVRC2012_val_00009848.JPEG
ILSVRC2012_val_00009991,143,oystercatcher,imagenet\raw\ILSVRC2012_val_00009991.JPEG
ILSVRC2012_val_00009998,100,black_swan,imagenet\raw\ILSVRC2012_val_00009998.JPEG
ILSVRC2012_val_00010020,384,indri,imagenet\raw\ILSVRC2012_val_00010020.JPEG
ILSVRC2012_val_00010023,370,guenon,imagenet\raw\ILSVRC2012_val_00010023.JPEG
ILSVRC2012_val_00010037,141,redshank,imagenet\raw\ILSVRC2012_val_00010037.JPEG
ILSVRC2012_val_00010038,159,Rhodesian_ridgeback,imagenet\raw\ILSVRC2012_val_00010038.JPEG
ILSVRC2012_val_00010107,206,curly-coated_retriever,imagenet\raw\ILSVRC2012_val_00010107.JPEG
ILSVRC2012_val_00010132,352,impala,imagenet\raw\ILSVRC2012_val_00010132.JPEG
ILSVRC2012_val_00010158,441,beer_glass,imagenet\raw\ILSVRC2012_val_00010158.JPEG
ILSVRC2012_val_00010176,140,red-backed_sandpiper,imagenet\raw\ILSVRC2012_val_00010176.JPEG
ILSVRC2012_val_00010183,247,Saint_Bernard,imagenet\raw\ILSVRC2012_val_00010183.JPEG
ILSVRC2012_val_00010220,967,espresso,imagenet\raw\ILSVRC2012_val_00010220.JPEG
ILSVRC2012_val_00010245,247,Saint_Bernard,imagenet\raw\ILSVRC2012_val_00010245.JPEG
ILSVRC2012_val_00010310,12,house_finch,imagenet\raw\ILSVRC2012_val_00010310.JPEG
ILSVRC2012_val_00010352,14,indigo_bunting,imagenet\raw\ILSVRC2012_val_00010352.JPEG
ILSVRC2012_val_00010424,305,dung_beetle,imagenet\raw\ILSVRC2012_val_00010424.JPEG
ILSVRC2012_val_00010768,227,kelpie,imagenet\raw\ILSVRC2012_val_00010768.JPEG
ILSVRC2012_val_00010825,390,eel,imagenet\raw\ILSVRC2012_val_00010825.JPEG
ILSVRC2012_val_00010845,143,oystercatcher,imagenet\raw\ILSVRC2012_val_00010845.JPEG
ILSVRC2012_val_00010917,80,black_grouse,imagenet\raw\ILSVRC2012_val_00010917.JPEG
ILSVRC2012_val_00010950,166,Walker_hound,imagenet\raw\ILSVRC2012_val_00010950.JPEG
ILSVRC2012_val_00010994,217,English_springer,imagenet\raw\ILSVRC2012_val_00010994.JPEG
ILSVRC2012_val_00011006,537,dogsled,imagenet\raw\ILSVRC2012_val_00011006.JPEG
ILSVRC2012_val_00011024,212,English_setter,imagenet\raw\ILSVRC2012_val_00011024.JPEG
ILSVRC2012_val_00011077,216,clumber,imagenet\raw\ILSVRC2012_val_00011077.JPEG
ILSVRC2012_val_00011086,997,bolete,imagenet\raw\ILSVRC2012_val_00011086.JPEG
ILSVRC2012_val_00011150,36,terrapin,imagenet\raw\ILSVRC2012_val_00011150.JPEG
ILSVRC2012_val_00011175,324,cabbage_butterfly,imagenet\raw\ILSVRC2012_val_00011175.JPEG
ILSVRC2012_val_00011178,13,junco,imagenet\raw\ILSVRC2012_val_00011178.JPEG
ILSVRC2012_val_00011205,232,Border_collie,imagenet\raw\ILSVRC2012_val_00011205.JPEG
ILSVRC2012_val_00011216,360,otter,imagenet\raw\ILSVRC2012_val_00011216.JPEG
ILSVRC2012_val_00011229,256,Newfoundland,imagenet\raw\ILSVRC2012_val_00011229.JPEG
ILSVRC2012_val_00011253,363,armadillo,imagenet\raw\ILSVRC2012_val_00011253.JPEG
ILSVRC2012_val_00011296,260,chow,imagenet\raw\ILSVRC2012_val_00011296.JPEG
ILSVRC2012_val_00011357,127,white_stork,imagenet\raw\ILSVRC2012_val_00011357.JPEG
ILSVRC2012_val_00011375,96,toucan,imagenet\raw\ILSVRC2012_val_00011375.JPEG
ILSVRC2012_val_00011385,182,Border_terrier,imagenet\raw\ILSVRC2012_val_00011385.JPEG
ILSVRC2012_val_00011414,24,great_grey_owl,imagenet\raw\ILSVRC2012_val_00011414.JPEG
ILSVRC2012_val_00011421,531,digital_watch,imagenet\raw\ILSVRC2012_val_00011421.JPEG
ILSVRC2012_val_00011436,975,lakeside,imagenet\raw\ILSVRC2012_val_00011436.JPEG
ILSVRC2012_val_00011468,147,grey_whale,imagenet\raw\ILSVRC2012_val_00011468.JPEG
ILSVRC2012_val_00011498,229,Old_English_sheepdog,imagenet\raw\ILSVRC2012_val_00011498.JPEG
ILSVRC2012_val_00011510,403,aircraft_carrier,imagenet\raw\ILSVRC2012_val_00011510.JPEG
ILSVRC2012_val_00011528,284,Siamese_cat,imagenet\raw\ILSVRC2012_val_00011528.JPEG
ILSVRC2012_val_00011535,317,leafhopper,imagenet\raw\ILSVRC2012_val_00011535.JPEG
ILSVRC2012_val_00011584,97,drake,imagenet\raw\ILSVRC2012_val_00011584.JPEG
ILSVRC2012_val_00011633,392,rock_beauty,imagenet\raw\ILSVRC2012_val_00011633.JPEG
ILSVRC2012_val_00011642,144,pelican,imagenet\raw\ILSVRC2012_val_00011642.JPEG
ILSVRC2012_val_00011772,321,admiral,imagenet\raw\ILSVRC2012_val_00011772.JPEG
ILSVRC2012_val_00011792,166,Walker_hound,imagenet\raw\ILSVRC2012_val_00011792.JPEG
ILSVRC2012_val_00011805,153,Maltese_dog,imagenet\raw\ILSVRC2012_val_00011805.JPEG
ILSVRC2012_val_00011818,993,gyromitra,imagenet\raw\ILSVRC2012_val_00011818.JPEG
ILSVRC2012_val_00011870,779,school_bus,imagenet\raw\ILSVRC2012_val_00011870.JPEG
ILSVRC2012_val_00011915,13,junco,imagenet\raw\ILSVRC2012_val_00011915.JPEG
ILSVRC2012_val_00011996,34,leatherback_turtle,imagenet\raw\ILSVRC2012_val_00011996.JPEG
ILSVRC2012_val_00012042,460,breakwater,imagenet\raw\ILSVRC2012_val_00012042.JPEG
ILSVRC2012_val_00012043,164,bluetick,imagenet\raw\ILSVRC2012_val_00012043.JPEG
ILSVRC2012_val_00012049,994,stinkhorn,imagenet\raw\ILSVRC2012_val_00012049.JPEG
ILSVRC2012_val_00012132,17,jay,imagenet\raw\ILSVRC2012_val_00012132.JPEG
ILSVRC2012_val_00012161,157,papillon,imagenet\raw\ILSVRC2012_val_00012161.JPEG
ILSVRC2012_val_00012165,334,porcupine,imagenet\raw\ILSVRC2012_val_00012165.JPEG
ILSVRC2012_val_00012267,38,banded_gecko,imagenet\raw\ILSVRC2012_val_00012267.JPEG
ILSVRC2012_val_00012313,947,mushroom,imagenet\raw\ILSVRC2012_val_00012313.JPEG
ILSVRC2012_val_00012331,52,thunder_snake,imagenet\raw\ILSVRC2012_val_00012331.JPEG
ILSVRC2012_val_00012365,42,agama,imagenet\raw\ILSVRC2012_val_00012365.JPEG
ILSVRC2012_val_00012372,106,wombat,imagenet\raw\ILSVRC2012_val_00012372.JPEG
ILSVRC2012_val_00012394,155,Shih-Tzu,imagenet\raw\ILSVRC2012_val_00012394.JPEG
ILSVRC2012_val_00012404,289,snow_leopard,imagenet\raw\ILSVRC2012_val_00012404.JPEG
ILSVRC2012_val_00012418,113,snail,imagenet\raw\ILSVRC2012_val_00012418.JPEG
ILSVRC2012_val_00012435,137,American_coot,imagenet\raw\ILSVRC2012_val_00012435.JPEG
ILSVRC2012_val_00012484,7,cock,imagenet\raw\ILSVRC2012_val_00012484.JPEG
ILSVRC2012_val_00012511,147,grey_whale,imagenet\raw\ILSVRC2012_val_00012511.JPEG
ILSVRC2012_val_00012944,405,airship,imagenet\raw\ILSVRC2012_val_00012944.JPEG
ILSVRC2012_val_00013111,86,partridge,imagenet\raw\ILSVRC2012_val_00013111.JPEG
ILSVRC2012_val_00013120,349,bighorn,imagenet\raw\ILSVRC2012_val_00013120.JPEG
ILSVRC2012_val_00013201,31,tree_frog,imagenet\raw\ILSVRC2012_val_00013201.JPEG
ILSVRC2012_val_00013248,225,malinois,imagenet\raw\ILSVRC2012_val_00013248.JPEG
ILSVRC2012_val_00013407,11,goldfinch,imagenet\raw\ILSVRC2012_val_00013407.JPEG
ILSVRC2012_val_00013432,21,kite,imagenet\raw\ILSVRC2012_val_00013432.JPEG
ILSVRC2012_val_00013515,143,oystercatcher,imagenet\raw\ILSVRC2012_val_00013515.JPEG
ILSVRC2012_val_00013583,232,Border_collie,imagenet\raw\ILSVRC2012_val_00013583.JPEG
ILSVRC2012_val_00013600,78,tick,imagenet\raw\ILSVRC2012_val_00013600.JPEG
ILSVRC2012_val_00013689,103,platypus,imagenet\raw\ILSVRC2012_val_00013689.JPEG
ILSVRC2012_val_00013784,676,muzzle,imagenet\raw\ILSVRC2012_val_00013784.JPEG
ILSVRC2012_val_00013800,160,Afghan_hound,imagenet\raw\ILSVRC2012_val_00013800.JPEG
ILSVRC2012_val_00013808,141,redshank,imagenet\raw\ILSVRC2012_val_00013808.JPEG
ILSVRC2012_val_00013911,270,white_wolf,imagenet\raw\ILSVRC2012_val_00013911.JPEG
ILSVRC2012_val_00013993,609,jeep,imagenet\raw\ILSVRC2012_val_00013993.JPEG
ILSVRC2012_val_00014005,134,crane,imagenet\raw\ILSVRC2012_val_00014005.JPEG
ILSVRC2012_val_00014108,13,junco,imagenet\raw\ILSVRC2012_val_00014108.JPEG
ILSVRC2012_val_00014374,252,affenpinscher,imagenet\raw\ILSVRC2012_val_00014374.JPEG
ILSVRC2012_val_00014391,361,skunk,imagenet\raw\ILSVRC2012_val_00014391.JPEG
ILSVRC2012_val_00014403,260,chow,imagenet\raw\ILSVRC2012_val_00014403.JPEG
ILSVRC2012_val_00014450,143,oystercatcher,imagenet\raw\ILSVRC2012_val_00014450.JPEG
ILSVRC2012_val_00014505,369,siamang,imagenet\raw\ILSVRC2012_val_00014505.JPEG
ILSVRC2012_val_00014730,182,Border_terrier,imagenet\raw\ILSVRC2012_val_00014730.JPEG
ILSVRC2012_val_00014779,215,Brittany_spaniel,imagenet\raw\ILSVRC2012_val_00014779.JPEG
ILSVRC2012_val_00014806,384,indri,imagenet\raw\ILSVRC2012_val_00014806.JPEG
ILSVRC2012_val_00014909,324,cabbage_butterfly,imagenet\raw\ILSVRC2012_val_00014909.JPEG
ILSVRC2012_val_00014940,371,patas,imagenet\raw\ILSVRC2012_val_00014940.JPEG
ILSVRC2012_val_00015124,340,zebra,imagenet\raw\ILSVRC2012_val_00015124.JPEG
ILSVRC2012_val_00015128,279,Arctic_fox,imagenet\raw\ILSVRC2012_val_00015128.JPEG
ILSVRC2012_val_00015135,202,soft-coated_wheaten_terrier,imagenet\raw\ILSVRC2012_val_00015135.JPEG
ILSVRC2012_val_00015139,4,hammerhead,imagenet\raw\ILSVRC2012_val_00015139.JPEG
ILSVRC2012_val_00015141,72,black_and_gold_garden_spider,imagenet\raw\ILSVRC2012_val_00015141.JPEG
ILSVRC2012_val_00015152,192,cairn,imagenet\raw\ILSVRC2012_val_00015152.JPEG
