image_id,dataset,class_id,class_name,image_path,split,bbox_x1y1x2y2
ILSVRC2012_val_00005767,imagenet,206.0,curly-coated_retriever,imagenet\raw\ILSVRC2012_val_00005767.JPEG,eval,
ILSVRC2012_val_00005786,imagenet,322.0,ringlet,imagenet\raw\ILSVRC2012_val_00005786.JPEG,eval,
ILSVRC2012_val_00005844,imagenet,994.0,stinkhorn,imagenet\raw\ILSVRC2012_val_00005844.JPEG,eval,
ILSVRC2012_val_00005852,imagenet,334.0,porcupine,imagenet\raw\ILSVRC2012_val_00005852.JPEG,eval,
ILSVRC2012_val_00005873,imagenet,94.0,hummingbird,imagenet\raw\ILSVRC2012_val_00005873.JPEG,eval,
ILSVRC2012_val_00005904,imagenet,325.0,sulphur_butterfly,imagenet\raw\ILSVRC2012_val_00005904.JPEG,eval,
ILSVRC2012_val_00005986,imagenet,546.0,electric_guitar,imagenet\raw\ILSVRC2012_val_00005986.JPEG,eval,
ILSVRC2012_val_00006024,imagenet,82.0,ruffed_grouse,imagenet\raw\ILSVRC2012_val_00006024.JPEG,eval,
ILSVRC2012_val_00006035,imagenet,185.0,Norfolk_terrier,imagenet\raw\ILSVRC2012_val_00006035.JPEG,eval,
ILSVRC2012_val_00006048,imagenet,599.0,honeycomb,imagenet\raw\ILSVRC2012_val_00006048.JPEG,eval,
ILSVRC2012_val_00006049,imagenet,100.0,black_swan,imagenet\raw\ILSVRC2012_val_00006049.JPEG,eval,
ILSVRC2012_val_00006125,imagenet,338.0,guinea_pig,imagenet\raw\ILSVRC2012_val_00006125.JPEG,eval,
ILSVRC2012_val_00006187,imagenet,841.0,sweatshirt,imagenet\raw\ILSVRC2012_val_00006187.JPEG,eval,
ILSVRC2012_val_00006192,imagenet,136.0,European_gallinule,imagenet\raw\ILSVRC2012_val_00006192.JPEG,eval,
ILSVRC2012_val_00006200,imagenet,354.0,Arabian_camel,imagenet\raw\ILSVRC2012_val_00006200.JPEG,eval,
ILSVRC2012_val_00006231,imagenet,137.0,American_coot,imagenet\raw\ILSVRC2012_val_00006231.JPEG,eval,
ILSVRC2012_val_00006283,imagenet,361.0,skunk,imagenet\raw\ILSVRC2012_val_00006283.JPEG,eval,
ILSVRC2012_val_00006321,imagenet,16.0,bulbul,imagenet\raw\ILSVRC2012_val_00006321.JPEG,eval,
ILSVRC2012_val_00006350,imagenet,295.0,American_black_bear,imagenet\raw\ILSVRC2012_val_00006350.JPEG,eval,
ILSVRC2012_val_00006382,imagenet,170.0,Irish_wolfhound,imagenet\raw\ILSVRC2012_val_00006382.JPEG,eval,
ILSVRC2012_val_00006396,imagenet,168.0,redbone,imagenet\raw\ILSVRC2012_val_00006396.JPEG,eval,
ILSVRC2012_val_00006427,imagenet,346.0,water_buffalo,imagenet\raw\ILSVRC2012_val_00006427.JPEG,eval,
ILSVRC2012_val_00006480,imagenet,68.0,sidewinder,imagenet\raw\ILSVRC2012_val_00006480.JPEG,eval,
ILSVRC2012_val_00006484,imagenet,263.0,Pembroke,imagenet\raw\ILSVRC2012_val_00006484.JPEG,eval,
ILSVRC2012_val_00006487,imagenet,128.0,black_stork,imagenet\raw\ILSVRC2012_val_00006487.JPEG,eval,
ILSVRC2012_val_00006544,imagenet,158.0,toy_terrier,imagenet\raw\ILSVRC2012_val_00006544.JPEG,eval,
ILSVRC2012_val_00006551,imagenet,897.0,washer,imagenet\raw\ILSVRC2012_val_00006551.JPEG,eval,
ILSVRC2012_val_00006565,imagenet,965.0,burrito,imagenet\raw\ILSVRC2012_val_00006565.JPEG,eval,
ILSVRC2012_val_00006617,imagenet,412.0,ashcan,imagenet\raw\ILSVRC2012_val_00006617.JPEG,eval,
ILSVRC2012_val_00006630,imagenet,218.0,Welsh_springer_spaniel,imagenet\raw\ILSVRC2012_val_00006630.JPEG,eval,
ILSVRC2012_val_00006663,imagenet,418.0,ballpoint,imagenet\raw\ILSVRC2012_val_00006663.JPEG,eval,
ILSVRC2012_val_00006690,imagenet,68.0,sidewinder,imagenet\raw\ILSVRC2012_val_00006690.JPEG,eval,
ILSVRC2012_val_00006749,imagenet,928.0,ice_cream,imagenet\raw\ILSVRC2012_val_00006749.JPEG,eval,
ILSVRC2012_val_00006756,imagenet,950.0,orange,imagenet\raw\ILSVRC2012_val_00006756.JPEG,eval,
ILSVRC2012_val_00006793,imagenet,295.0,American_black_bear,imagenet\raw\ILSVRC2012_val_00006793.JPEG,eval,
ILSVRC2012_val_00006817,imagenet,65.0,sea_snake,imagenet\raw\ILSVRC2012_val_00006817.JPEG,eval,
ILSVRC2012_val_00006861,imagenet,433.0,bathing_cap,imagenet\raw\ILSVRC2012_val_00006861.JPEG,eval,
ILSVRC2012_val_00006864,imagenet,745.0,projector,imagenet\raw\ILSVRC2012_val_00006864.JPEG,eval,
ILSVRC2012_val_00006866,imagenet,261.0,keeshond,imagenet\raw\ILSVRC2012_val_00006866.JPEG,eval,
ILSVRC2012_val_00006920,imagenet,241.0,EntleBucher,imagenet\raw\ILSVRC2012_val_00006920.JPEG,eval,
ILSVRC2012_val_00006935,imagenet,176.0,Saluki,imagenet\raw\ILSVRC2012_val_00006935.JPEG,eval,
ILSVRC2012_val_00006981,imagenet,207.0,golden_retriever,imagenet\raw\ILSVRC2012_val_00006981.JPEG,eval,
ILSVRC2012_val_00007002,imagenet,176.0,Saluki,imagenet\raw\ILSVRC2012_val_00007002.JPEG,eval,
ILSVRC2012_val_00007056,imagenet,233.0,Bouvier_des_Flandres,imagenet\raw\ILSVRC2012_val_00007056.JPEG,eval,
ILSVRC2012_val_00007064,imagenet,609.0,jeep,imagenet\raw\ILSVRC2012_val_00007064.JPEG,eval,
ILSVRC2012_val_00007082,imagenet,308.0,fly,imagenet\raw\ILSVRC2012_val_00007082.JPEG,eval,
ILSVRC2012_val_00007172,imagenet,142.0,dowitcher,imagenet\raw\ILSVRC2012_val_00007172.JPEG,eval,
ILSVRC2012_val_00007216,imagenet,249.0,malamute,imagenet\raw\ILSVRC2012_val_00007216.JPEG,eval,
ILSVRC2012_val_00007231,imagenet,18.0,magpie,imagenet\raw\ILSVRC2012_val_00007231.JPEG,eval,
ILSVRC2012_val_00007247,imagenet,944.0,artichoke,imagenet\raw\ILSVRC2012_val_00007247.JPEG,eval,
ILSVRC2012_val_00007254,imagenet,412.0,ashcan,imagenet\raw\ILSVRC2012_val_00007254.JPEG,eval,
ILSVRC2012_val_00007275,imagenet,814.0,speedboat,imagenet\raw\ILSVRC2012_val_00007275.JPEG,eval,
ILSVRC2012_val_00007312,imagenet,80.0,black_grouse,imagenet\raw\ILSVRC2012_val_00007312.JPEG,eval,
ILSVRC2012_val_00007334,imagenet,138.0,bustard,imagenet\raw\ILSVRC2012_val_00007334.JPEG,eval,
ILSVRC2012_val_00007345,imagenet,109.0,brain_coral,imagenet\raw\ILSVRC2012_val_00007345.JPEG,eval,
ILSVRC2012_val_00007356,imagenet,189.0,Lakeland_terrier,imagenet\raw\ILSVRC2012_val_00007356.JPEG,eval,
ILSVRC2012_val_00007406,imagenet,278.0,kit_fox,imagenet\raw\ILSVRC2012_val_00007406.JPEG,eval,
ILSVRC2012_val_00007524,imagenet,140.0,red-backed_sandpiper,imagenet\raw\ILSVRC2012_val_00007524.JPEG,eval,
ILSVRC2012_val_00007535,imagenet,239.0,Bernese_mountain_dog,imagenet\raw\ILSVRC2012_val_00007535.JPEG,eval,
ILSVRC2012_val_00007651,imagenet,141.0,redshank,imagenet\raw\ILSVRC2012_val_00007651.JPEG,eval,
ILSVRC2012_val_00007782,imagenet,273.0,dingo,imagenet\raw\ILSVRC2012_val_00007782.JPEG,eval,
ILSVRC2012_val_00007806,imagenet,749.0,quill,imagenet\raw\ILSVRC2012_val_00007806.JPEG,eval,
ILSVRC2012_val_00007808,imagenet,283.0,Persian_cat,imagenet\raw\ILSVRC2012_val_00007808.JPEG,eval,
ILSVRC2012_val_00007837,imagenet,232.0,Border_collie,imagenet\raw\ILSVRC2012_val_00007837.JPEG,eval,
ILSVRC2012_val_00007858,imagenet,273.0,dingo,imagenet\raw\ILSVRC2012_val_00007858.JPEG,eval,
ILSVRC2012_val_00007916,imagenet,317.0,leafhopper,imagenet\raw\ILSVRC2012_val_00007916.JPEG,eval,
ILSVRC2012_val_00007930,imagenet,110.0,flatworm,imagenet\raw\ILSVRC2012_val_00007930.JPEG,eval,
ILSVRC2012_val_00007980,imagenet,333.0,hamster,imagenet\raw\ILSVRC2012_val_00007980.JPEG,eval,
ILSVRC2012_val_00008035,imagenet,132.0,American_egret,imagenet\raw\ILSVRC2012_val_00008035.JPEG,eval,
ILSVRC2012_val_00008137,imagenet,268.0,Mexican_hairless,imagenet\raw\ILSVRC2012_val_00008137.JPEG,eval,
ILSVRC2012_val_00008209,imagenet,24.0,great_grey_owl,imagenet\raw\ILSVRC2012_val_00008209.JPEG,eval,
ILSVRC2012_val_00008217,imagenet,228.0,komondor,imagenet\raw\ILSVRC2012_val_00008217.JPEG,eval,
ILSVRC2012_val_00008236,imagenet,92.0,bee_eater,imagenet\raw\ILSVRC2012_val_00008236.JPEG,eval,
ILSVRC2012_val_00008302,imagenet,133.0,bittern,imagenet\raw\ILSVRC2012_val_00008302.JPEG,eval,
ILSVRC2012_val_00008375,imagenet,163.0,bloodhound,imagenet\raw\ILSVRC2012_val_00008375.JPEG,eval,
ILSVRC2012_val_00008502,imagenet,183.0,Kerry_blue_terrier,imagenet\raw\ILSVRC2012_val_00008502.JPEG,eval,
ILSVRC2012_val_00008566,imagenet,87.0,African_grey,imagenet\raw\ILSVRC2012_val_00008566.JPEG,eval,
ILSVRC2012_val_00008588,imagenet,103.0,platypus,imagenet\raw\ILSVRC2012_val_00008588.JPEG,eval,
ILSVRC2012_val_00008636,imagenet,356.0,weasel,imagenet\raw\ILSVRC2012_val_00008636.JPEG,eval,
ILSVRC2012_val_00008737,imagenet,143.0,oystercatcher,imagenet\raw\ILSVRC2012_val_00008737.JPEG,eval,
ILSVRC2012_val_00008842,imagenet,137.0,American_coot,imagenet\raw\ILSVRC2012_val_00008842.JPEG,eval,
ILSVRC2012_val_00008880,imagenet,261.0,keeshond,imagenet\raw\ILSVRC2012_val_00008880.JPEG,eval,
ILSVRC2012_val_00008885,imagenet,229.0,Old_English_sheepdog,imagenet\raw\ILSVRC2012_val_00008885.JPEG,eval,
ILSVRC2012_val_00008997,imagenet,171.0,Italian_greyhound,imagenet\raw\ILSVRC2012_val_00008997.JPEG,eval,
ILSVRC2012_val_00009067,imagenet,361.0,skunk,imagenet\raw\ILSVRC2012_val_00009067.JPEG,eval,
ILSVRC2012_val_00009092,imagenet,15.0,robin,imagenet\raw\ILSVRC2012_val_00009092.JPEG,eval,
ILSVRC2012_val_00009093,imagenet,253.0,basenji,imagenet\raw\ILSVRC2012_val_00009093.JPEG,eval,
ILSVRC2012_val_00009100,imagenet,23.0,vulture,imagenet\raw\ILSVRC2012_val_00009100.JPEG,eval,
ILSVRC2012_val_00009239,imagenet,12.0,house_finch,imagenet\raw\ILSVRC2012_val_00009239.JPEG,eval,
ILSVRC2012_val_00009314,imagenet,274.0,dhole,imagenet\raw\ILSVRC2012_val_00009314.JPEG,eval,
ILSVRC2012_val_00009324,imagenet,261.0,keeshond,imagenet\raw\ILSVRC2012_val_00009324.JPEG,eval,
ILSVRC2012_val_00009336,imagenet,278.0,kit_fox,imagenet\raw\ILSVRC2012_val_00009336.JPEG,eval,
ILSVRC2012_val_00009471,imagenet,405.0,airship,imagenet\raw\ILSVRC2012_val_00009471.JPEG,eval,
ILSVRC2012_val_00009485,imagenet,125.0,hermit_crab,imagenet\raw\ILSVRC2012_val_00009485.JPEG,eval,
ILSVRC2012_val_00009624,imagenet,176.0,Saluki,imagenet\raw\ILSVRC2012_val_00009624.JPEG,eval,
ILSVRC2012_val_00009660,imagenet,230.0,Shetland_sheepdog,imagenet\raw\ILSVRC2012_val_00009660.JPEG,eval,
ILSVRC2012_val_00009781,imagenet,91.0,coucal,imagenet\raw\ILSVRC2012_val_00009781.JPEG,eval,
ILSVRC2012_val_00009848,imagenet,201.0,silky_terrier,imagenet\raw\ILSVRC2012_val_00009848.JPEG,eval,
ILSVRC2012_val_00009991,imagenet,143.0,oystercatcher,imagenet\raw\ILSVRC2012_val_00009991.JPEG,eval,
ILSVRC2012_val_00009998,imagenet,100.0,black_swan,imagenet\raw\ILSVRC2012_val_00009998.JPEG,eval,
ILSVRC2012_val_00010020,imagenet,384.0,indri,imagenet\raw\ILSVRC2012_val_00010020.JPEG,eval,
ILSVRC2012_val_00010023,imagenet,370.0,guenon,imagenet\raw\ILSVRC2012_val_00010023.JPEG,eval,
ILSVRC2012_val_00010037,imagenet,141.0,redshank,imagenet\raw\ILSVRC2012_val_00010037.JPEG,eval,
ILSVRC2012_val_00010038,imagenet,159.0,Rhodesian_ridgeback,imagenet\raw\ILSVRC2012_val_00010038.JPEG,eval,
ILSVRC2012_val_00010107,imagenet,206.0,curly-coated_retriever,imagenet\raw\ILSVRC2012_val_00010107.JPEG,eval,
ILSVRC2012_val_00010158,imagenet,441.0,beer_glass,imagenet\raw\ILSVRC2012_val_00010158.JPEG,eval,
ILSVRC2012_val_00010176,imagenet,140.0,red-backed_sandpiper,imagenet\raw\ILSVRC2012_val_00010176.JPEG,eval,
ILSVRC2012_val_00010183,imagenet,247.0,Saint_Bernard,imagenet\raw\ILSVRC2012_val_00010183.JPEG,eval,
ILSVRC2012_val_00010220,imagenet,967.0,espresso,imagenet\raw\ILSVRC2012_val_00010220.JPEG,eval,
ILSVRC2012_val_00010245,imagenet,247.0,Saint_Bernard,imagenet\raw\ILSVRC2012_val_00010245.JPEG,eval,
ILSVRC2012_val_00010310,imagenet,12.0,house_finch,imagenet\raw\ILSVRC2012_val_00010310.JPEG,eval,
ILSVRC2012_val_00010352,imagenet,14.0,indigo_bunting,imagenet\raw\ILSVRC2012_val_00010352.JPEG,eval,
ILSVRC2012_val_00010424,imagenet,305.0,dung_beetle,imagenet\raw\ILSVRC2012_val_00010424.JPEG,eval,
ILSVRC2012_val_00010768,imagenet,227.0,kelpie,imagenet\raw\ILSVRC2012_val_00010768.JPEG,eval,
ILSVRC2012_val_00010825,imagenet,390.0,eel,imagenet\raw\ILSVRC2012_val_00010825.JPEG,eval,
ILSVRC2012_val_00010845,imagenet,143.0,oystercatcher,imagenet\raw\ILSVRC2012_val_00010845.JPEG,eval,
ILSVRC2012_val_00010917,imagenet,80.0,black_grouse,imagenet\raw\ILSVRC2012_val_00010917.JPEG,eval,
ILSVRC2012_val_00010950,imagenet,166.0,Walker_hound,imagenet\raw\ILSVRC2012_val_00010950.JPEG,eval,
ILSVRC2012_val_00010994,imagenet,217.0,English_springer,imagenet\raw\ILSVRC2012_val_00010994.JPEG,eval,
ILSVRC2012_val_00011006,imagenet,537.0,dogsled,imagenet\raw\ILSVRC2012_val_00011006.JPEG,eval,
ILSVRC2012_val_00011024,imagenet,212.0,English_setter,imagenet\raw\ILSVRC2012_val_00011024.JPEG,eval,
ILSVRC2012_val_00011077,imagenet,216.0,clumber,imagenet\raw\ILSVRC2012_val_00011077.JPEG,eval,
ILSVRC2012_val_00011086,imagenet,997.0,bolete,imagenet\raw\ILSVRC2012_val_00011086.JPEG,eval,
ILSVRC2012_val_00011150,imagenet,36.0,terrapin,imagenet\raw\ILSVRC2012_val_00011150.JPEG,eval,
ILSVRC2012_val_00011175,imagenet,324.0,cabbage_butterfly,imagenet\raw\ILSVRC2012_val_00011175.JPEG,eval,
ILSVRC2012_val_00011178,imagenet,13.0,junco,imagenet\raw\ILSVRC2012_val_00011178.JPEG,eval,
ILSVRC2012_val_00011205,imagenet,232.0,Border_collie,imagenet\raw\ILSVRC2012_val_00011205.JPEG,eval,
ILSVRC2012_val_00011216,imagenet,360.0,otter,imagenet\raw\ILSVRC2012_val_00011216.JPEG,eval,
ILSVRC2012_val_00011229,imagenet,256.0,Newfoundland,imagenet\raw\ILSVRC2012_val_00011229.JPEG,eval,
ILSVRC2012_val_00011296,imagenet,260.0,chow,imagenet\raw\ILSVRC2012_val_00011296.JPEG,eval,
ILSVRC2012_val_00011357,imagenet,127.0,white_stork,imagenet\raw\ILSVRC2012_val_00011357.JPEG,eval,
ILSVRC2012_val_00011375,imagenet,96.0,toucan,imagenet\raw\ILSVRC2012_val_00011375.JPEG,eval,
ILSVRC2012_val_00011385,imagenet,182.0,Border_terrier,imagenet\raw\ILSVRC2012_val_00011385.JPEG,eval,
ILSVRC2012_val_00011414,imagenet,24.0,great_grey_owl,imagenet\raw\ILSVRC2012_val_00011414.JPEG,eval,
ILSVRC2012_val_00011421,imagenet,531.0,digital_watch,imagenet\raw\ILSVRC2012_val_00011421.JPEG,eval,
ILSVRC2012_val_00011436,imagenet,975.0,lakeside,imagenet\raw\ILSVRC2012_val_00011436.JPEG,eval,
ILSVRC2012_val_00011468,imagenet,147.0,grey_whale,imagenet\raw\ILSVRC2012_val_00011468.JPEG,eval,
ILSVRC2012_val_00011498,imagenet,229.0,Old_English_sheepdog,imagenet\raw\ILSVRC2012_val_00011498.JPEG,eval,
ILSVRC2012_val_00011510,imagenet,403.0,aircraft_carrier,imagenet\raw\ILSVRC2012_val_00011510.JPEG,eval,
ILSVRC2012_val_00011528,imagenet,284.0,Siamese_cat,imagenet\raw\ILSVRC2012_val_00011528.JPEG,eval,
ILSVRC2012_val_00011535,imagenet,317.0,leafhopper,imagenet\raw\ILSVRC2012_val_00011535.JPEG,eval,
ILSVRC2012_val_00011584,imagenet,97.0,drake,imagenet\raw\ILSVRC2012_val_00011584.JPEG,eval,
ILSVRC2012_val_00011633,imagenet,392.0,rock_beauty,imagenet\raw\ILSVRC2012_val_00011633.JPEG,eval,
ILSVRC2012_val_00011642,imagenet,144.0,pelican,imagenet\raw\ILSVRC2012_val_00011642.JPEG,eval,
ILSVRC2012_val_00011772,imagenet,321.0,admiral,imagenet\raw\ILSVRC2012_val_00011772.JPEG,eval,
ILSVRC2012_val_00011792,imagenet,166.0,Walker_hound,imagenet\raw\ILSVRC2012_val_00011792.JPEG,eval,
ILSVRC2012_val_00011805,imagenet,153.0,Maltese_dog,imagenet\raw\ILSVRC2012_val_00011805.JPEG,eval,
ILSVRC2012_val_00011818,imagenet,993.0,gyromitra,imagenet\raw\ILSVRC2012_val_00011818.JPEG,eval,
ILSVRC2012_val_00011870,imagenet,779.0,school_bus,imagenet\raw\ILSVRC2012_val_00011870.JPEG,eval,
ILSVRC2012_val_00011996,imagenet,34.0,leatherback_turtle,imagenet\raw\ILSVRC2012_val_00011996.JPEG,eval,
ILSVRC2012_val_00012042,imagenet,460.0,breakwater,imagenet\raw\ILSVRC2012_val_00012042.JPEG,eval,
ILSVRC2012_val_00012043,imagenet,164.0,bluetick,imagenet\raw\ILSVRC2012_val_00012043.JPEG,eval,
ILSVRC2012_val_00012049,imagenet,994.0,stinkhorn,imagenet\raw\ILSVRC2012_val_00012049.JPEG,eval,
ILSVRC2012_val_00012161,imagenet,157.0,papillon,imagenet\raw\ILSVRC2012_val_00012161.JPEG,eval,
ILSVRC2012_val_00012165,imagenet,334.0,porcupine,imagenet\raw\ILSVRC2012_val_00012165.JPEG,eval,
ILSVRC2012_val_00012267,imagenet,38.0,banded_gecko,imagenet\raw\ILSVRC2012_val_00012267.JPEG,eval,
ILSVRC2012_val_00012331,imagenet,52.0,thunder_snake,imagenet\raw\ILSVRC2012_val_00012331.JPEG,eval,
ILSVRC2012_val_00012365,imagenet,42.0,agama,imagenet\raw\ILSVRC2012_val_00012365.JPEG,eval,
ILSVRC2012_val_00012372,imagenet,106.0,wombat,imagenet\raw\ILSVRC2012_val_00012372.JPEG,eval,
ILSVRC2012_val_00012394,imagenet,155.0,Shih-Tzu,imagenet\raw\ILSVRC2012_val_00012394.JPEG,eval,
ILSVRC2012_val_00012404,imagenet,289.0,snow_leopard,imagenet\raw\ILSVRC2012_val_00012404.JPEG,eval,
ILSVRC2012_val_00012418,imagenet,113.0,snail,imagenet\raw\ILSVRC2012_val_00012418.JPEG,eval,
ILSVRC2012_val_00012435,imagenet,137.0,American_coot,imagenet\raw\ILSVRC2012_val_00012435.JPEG,eval,
ILSVRC2012_val_00012484,imagenet,7.0,cock,imagenet\raw\ILSVRC2012_val_00012484.JPEG,eval,
ILSVRC2012_val_00012511,imagenet,147.0,grey_whale,imagenet\raw\ILSVRC2012_val_00012511.JPEG,eval,
ILSVRC2012_val_00012944,imagenet,405.0,airship,imagenet\raw\ILSVRC2012_val_00012944.JPEG,eval,
ILSVRC2012_val_00013111,imagenet,86.0,partridge,imagenet\raw\ILSVRC2012_val_00013111.JPEG,eval,
ILSVRC2012_val_00013120,imagenet,349.0,bighorn,imagenet\raw\ILSVRC2012_val_00013120.JPEG,eval,
ILSVRC2012_val_00013201,imagenet,31.0,tree_frog,imagenet\raw\ILSVRC2012_val_00013201.JPEG,eval,
ILSVRC2012_val_00013248,imagenet,225.0,malinois,imagenet\raw\ILSVRC2012_val_00013248.JPEG,eval,
ILSVRC2012_val_00013407,imagenet,11.0,goldfinch,imagenet\raw\ILSVRC2012_val_00013407.JPEG,eval,
ILSVRC2012_val_00013432,imagenet,21.0,kite,imagenet\raw\ILSVRC2012_val_00013432.JPEG,eval,
ILSVRC2012_val_00013515,imagenet,143.0,oystercatcher,imagenet\raw\ILSVRC2012_val_00013515.JPEG,eval,
ILSVRC2012_val_00013583,imagenet,232.0,Border_collie,imagenet\raw\ILSVRC2012_val_00013583.JPEG,eval,
