image_id,class_id,class_name,bbox_x1y1x2y2,image_path
002854,6,car,"[3, 175, 500, 331]",voc\raw\002854.jpg
002869,0,aeroplane,"[21, 94, 489, 226]",voc\raw\002869.jpg
002891,18,train,"[68, 50, 381, 324]",voc\raw\002891.jpg
002896,2,bird,"[124, 71, 253, 500]",voc\raw\002896.jpg
002932,14,person,"[103, 369, 195, 468]",voc\raw\002932.jpg
002938,2,bird,"[46, 139, 259, 260]",voc\raw\002938.jpg
002942,0,aeroplane,"[222, 153, 312, 192]",voc\raw\002942.jpg
002960,14,person,"[47, 75, 271, 315]",voc\raw\002960.jpg
002969,2,bird,"[139, 125, 500, 374]",voc\raw\002969.jpg
003009,6,car,"[135, 294, 386, 363]",voc\raw\003009.jpg
003015,12,horse,"[182, 128, 274, 218]",voc\raw\003015.jpg
003064,14,person,"[79, 103, 215, 500]",voc\raw\003064.jpg
003090,18,train,"[79, 116, 301, 206]",voc\raw\003090.jpg
003112,2,bird,"[164, 87, 306, 332]",voc\raw\003112.jpg
003126,2,bird,"[132, 156, 280, 248]",voc\raw\003126.jpg
003133,0,aeroplane,"[32, 55, 435, 213]",voc\raw\003133.jpg
003135,18,train,"[2, 114, 497, 276]",voc\raw\003135.jpg
003154,5,bus,"[162, 102, 468, 302]",voc\raw\003154.jpg
003157,19,tvmonitor,"[137, 57, 303, 185]",voc\raw\003157.jpg
003163,5,bus,"[56, 66, 441, 240]",voc\raw\003163.jpg
003204,19,tvmonitor,"[172, 195, 278, 299]",voc\raw\003204.jpg
003244,18,train,"[1, 142, 498, 245]",voc\raw\003244.jpg
003250,2,bird,"[174, 24, 355, 333]",voc\raw\003250.jpg
003274,11,dog,"[148, 77, 298, 239]",voc\raw\003274.jpg
003338,2,bird,"[196, 75, 334, 285]",voc\raw\003338.jpg
003349,2,bird,"[88, 55, 327, 289]",voc\raw\003349.jpg
003351,7,cat,"[160, 83, 461, 347]",voc\raw\003351.jpg
003354,9,cow,"[93, 75, 256, 223]",voc\raw\003354.jpg
003365,0,aeroplane,"[118, 108, 450, 197]",voc\raw\003365.jpg
003370,18,train,"[162, 93, 289, 276]",voc\raw\003370.jpg
003377,2,bird,"[135, 141, 292, 360]",voc\raw\003377.jpg
003410,9,cow,"[66, 149, 240, 237]",voc\raw\003410.jpg
003421,8,chair,"[107, 322, 300, 500]",voc\raw\003421.jpg
003441,5,bus,"[105, 98, 378, 274]",voc\raw\003441.jpg
003443,11,dog,"[59, 96, 229, 233]",voc\raw\003443.jpg
003444,17,sofa,"[36, 91, 304, 263]",voc\raw\003444.jpg
003489,11,dog,"[280, 32, 456, 257]",voc\raw\003489.jpg
003493,0,aeroplane,"[137, 119, 440, 234]",voc\raw\003493.jpg
003509,15,pottedplant,"[184, 28, 375, 499]",voc\raw\003509.jpg
003519,2,bird,"[114, 84, 316, 375]",voc\raw\003519.jpg
003522,7,cat,"[249, 2, 500, 328]",voc\raw\003522.jpg
003546,7,cat,"[132, 82, 257, 228]",voc\raw\003546.jpg
003554,0,aeroplane,"[75, 126, 436, 250]",voc\raw\003554.jpg
003565,2,bird,"[280, 218, 500, 317]",voc\raw\003565.jpg
003597,18,train,"[9, 135, 392, 399]",voc\raw\003597.jpg
003627,11,dog,"[135, 1, 365, 333]",voc\raw\003627.jpg
003640,9,cow,"[274, 184, 444, 287]",voc\raw\003640.jpg
003695,18,train,"[1, 145, 480, 283]",voc\raw\003695.jpg
003704,2,bird,"[220, 62, 458, 347]",voc\raw\003704.jpg
003705,16,sheep,"[196, 100, 270, 176]",voc\raw\003705.jpg
003773,0,aeroplane,"[13, 121, 485, 230]",voc\raw\003773.jpg
003784,1,bicycle,"[32, 232, 311, 407]",voc\raw\003784.jpg
003786,5,bus,"[171, 165, 287, 273]",voc\raw\003786.jpg
003790,6,car,"[54, 115, 462, 269]",voc\raw\003790.jpg
003803,2,bird,"[156, 186, 249, 341]",voc\raw\003803.jpg
003828,2,bird,"[168, 53, 223, 86]",voc\raw\003828.jpg
003868,14,person,"[2, 235, 500, 374]",voc\raw\003868.jpg
003871,2,bird,"[119, 82, 313, 433]",voc\raw\003871.jpg
003890,7,cat,"[7, 270, 282, 500]",voc\raw\003890.jpg
003905,2,bird,"[236, 66, 376, 267]",voc\raw\003905.jpg
003935,11,dog,"[98, 55, 347, 340]",voc\raw\003935.jpg
003971,6,car,"[26, 125, 479, 273]",voc\raw\003971.jpg
003991,7,cat,"[79, 53, 500, 264]",voc\raw\003991.jpg
003993,0,aeroplane,"[45, 87, 418, 245]",voc\raw\003993.jpg
004015,11,dog,"[73, 23, 302, 375]",voc\raw\004015.jpg
004052,0,aeroplane,"[47, 108, 398, 213]",voc\raw\004052.jpg
004076,7,cat,"[77, 53, 415, 280]",voc\raw\004076.jpg
004082,1,bicycle,"[170, 74, 261, 331]",voc\raw\004082.jpg
004133,14,person,"[97, 18, 224, 334]",voc\raw\004133.jpg
004163,19,tvmonitor,"[248, 197, 355, 316]",voc\raw\004163.jpg
004171,2,bird,"[97, 302, 272, 433]",voc\raw\004171.jpg
004174,5,bus,"[3, 233, 136, 381]",voc\raw\004174.jpg
004190,19,tvmonitor,"[1, 115, 201, 326]",voc\raw\004190.jpg
004192,19,tvmonitor,"[138, 220, 233, 300]",voc\raw\004192.jpg
004220,2,bird,"[152, 132, 380, 214]",voc\raw\004220.jpg
004221,2,bird,"[240, 155, 321, 240]",voc\raw\004221.jpg
004263,2,bird,"[76, 112, 366, 328]",voc\raw\004263.jpg
004300,13,motorbike,"[79, 201, 235, 317]",voc\raw\004300.jpg
004318,11,dog,"[1, 61, 365, 283]",voc\raw\004318.jpg
004325,3,boat,"[1, 22, 189, 346]",voc\raw\004325.jpg
004345,7,cat,"[105, 8, 367, 316]",voc\raw\004345.jpg
004351,0,aeroplane,"[100, 25, 162, 75]",voc\raw\004351.jpg
004430,1,bicycle,"[93, 25, 245, 302]",voc\raw\004430.jpg
004436,18,train,"[108, 154, 243, 382]",voc\raw\004436.jpg
004498,3,boat,"[126, 159, 215, 284]",voc\raw\004498.jpg
004540,17,sofa,"[8, 141, 333, 316]",voc\raw\004540.jpg
004555,0,aeroplane,"[142, 174, 355, 245]",voc\raw\004555.jpg
004597,8,chair,"[83, 181, 120, 255]",voc\raw\004597.jpg
004600,7,cat,"[178, 40, 298, 281]",voc\raw\004600.jpg
004612,2,bird,"[230, 133, 270, 202]",voc\raw\004612.jpg
004628,7,cat,"[235, 1, 443, 279]",voc\raw\004628.jpg
004634,12,horse,"[160, 143, 400, 305]",voc\raw\004634.jpg
004636,2,bird,"[192, 117, 412, 206]",voc\raw\004636.jpg
004651,3,boat,"[153, 154, 216, 262]",voc\raw\004651.jpg
004652,19,tvmonitor,"[79, 1, 434, 216]",voc\raw\004652.jpg
004653,14,person,"[51, 109, 276, 448]",voc\raw\004653.jpg
004675,18,train,"[3, 46, 374, 150]",voc\raw\004675.jpg
004689,18,train,"[16, 155, 477, 345]",voc\raw\004689.jpg
004770,14,person,"[83, 2, 335, 500]",voc\raw\004770.jpg
004792,7,cat,"[115, 135, 257, 336]",voc\raw\004792.jpg
004816,11,dog,"[113, 37, 365, 294]",voc\raw\004816.jpg
004849,18,train,"[143, 191, 250, 281]",voc\raw\004849.jpg
004850,6,car,"[245, 92, 405, 195]",voc\raw\004850.jpg
004863,6,car,"[61, 61, 421, 282]",voc\raw\004863.jpg
004873,6,car,"[8, 119, 371, 355]",voc\raw\004873.jpg
004890,6,car,"[56, 97, 454, 313]",voc\raw\004890.jpg
004966,2,bird,"[135, 130, 322, 276]",voc\raw\004966.jpg
004972,2,bird,"[115, 78, 344, 482]",voc\raw\004972.jpg
004982,0,aeroplane,"[5, 111, 500, 221]",voc\raw\004982.jpg
004984,8,chair,"[295, 34, 480, 213]",voc\raw\004984.jpg
004999,11,dog,"[157, 101, 307, 216]",voc\raw\004999.jpg
005003,6,car,"[188, 161, 251, 192]",voc\raw\005003.jpg
005004,17,sofa,"[137, 31, 454, 275]",voc\raw\005004.jpg
005006,2,bird,"[207, 392, 291, 453]",voc\raw\005006.jpg
005007,19,tvmonitor,"[116, 10, 390, 266]",voc\raw\005007.jpg
005023,2,bird,"[207, 266, 259, 339]",voc\raw\005023.jpg
005056,11,dog,"[43, 45, 242, 213]",voc\raw\005056.jpg
005067,6,car,"[400, 233, 441, 273]",voc\raw\005067.jpg
005128,3,boat,"[122, 138, 401, 206]",voc\raw\005128.jpg
005168,18,train,"[36, 116, 445, 229]",voc\raw\005168.jpg
005202,2,bird,"[65, 91, 356, 255]",voc\raw\005202.jpg
005208,14,person,"[111, 156, 231, 333]",voc\raw\005208.jpg
005209,6,car,"[82, 75, 416, 299]",voc\raw\005209.jpg
005217,3,boat,"[1, 214, 338, 334]",voc\raw\005217.jpg
005290,0,aeroplane,"[227, 121, 287, 181]",voc\raw\005290.jpg
005293,11,dog,"[99, 80, 184, 195]",voc\raw\005293.jpg
005305,6,car,"[74, 358, 266, 462]",voc\raw\005305.jpg
005312,7,cat,"[111, 53, 364, 366]",voc\raw\005312.jpg
005320,3,boat,"[374, 144, 480, 188]",voc\raw\005320.jpg
005325,3,boat,"[277, 250, 326, 309]",voc\raw\005325.jpg
005337,3,boat,"[284, 99, 357, 130]",voc\raw\005337.jpg
005340,3,boat,"[219, 18, 360, 238]",voc\raw\005340.jpg
005350,6,car,"[85, 140, 400, 249]",voc\raw\005350.jpg
005352,11,dog,"[137, 97, 237, 291]",voc\raw\005352.jpg
005370,3,boat,"[260, 156, 351, 178]",voc\raw\005370.jpg
005405,14,person,"[71, 151, 276, 401]",voc\raw\005405.jpg
005406,0,aeroplane,"[172, 126, 235, 187]",voc\raw\005406.jpg
005407,18,train,"[157, 234, 182, 266]",voc\raw\005407.jpg
005408,11,dog,"[87, 113, 335, 269]",voc\raw\005408.jpg
005418,9,cow,"[216, 97, 432, 312]",voc\raw\005418.jpg
005544,18,train,"[79, 188, 288, 310]",voc\raw\005544.jpg
005584,6,car,"[334, 192, 488, 319]",voc\raw\005584.jpg
005586,7,cat,"[116, 107, 212, 301]",voc\raw\005586.jpg
005588,6,car,"[150, 223, 266, 311]",voc\raw\005588.jpg
005592,6,car,"[122, 135, 277, 207]",voc\raw\005592.jpg
005640,6,car,"[107, 188, 245, 271]",voc\raw\005640.jpg
005655,0,aeroplane,"[134, 180, 287, 230]",voc\raw\005655.jpg
005676,15,pottedplant,"[134, 32, 388, 285]",voc\raw\005676.jpg
005685,18,train,"[48, 130, 300, 451]",voc\raw\005685.jpg
005699,3,boat,"[155, 217, 346, 310]",voc\raw\005699.jpg
005705,3,boat,"[62, 16, 246, 408]",voc\raw\005705.jpg
005718,8,chair,"[33, 233, 160, 385]",voc\raw\005718.jpg
005742,3,boat,"[422, 226, 472, 254]",voc\raw\005742.jpg
005769,7,cat,"[68, 162, 497, 343]",voc\raw\005769.jpg
005780,14,person,"[213, 111, 304, 197]",voc\raw\005780.jpg
005803,10,diningtable,"[67, 156, 433, 273]",voc\raw\005803.jpg
005817,15,pottedplant,"[252, 2, 500, 370]",voc\raw\005817.jpg
005828,0,aeroplane,"[86, 62, 443, 210]",voc\raw\005828.jpg
005831,6,car,"[36, 147, 465, 344]",voc\raw\005831.jpg
005851,18,train,"[223, 155, 316, 190]",voc\raw\005851.jpg
005868,6,car,"[19, 134, 488, 324]",voc\raw\005868.jpg
005878,13,motorbike,"[100, 92, 323, 222]",voc\raw\005878.jpg
005909,2,bird,"[152, 124, 291, 333]",voc\raw\005909.jpg
005912,2,bird,"[245, 71, 345, 284]",voc\raw\005912.jpg
005947,16,sheep,"[90, 26, 323, 330]",voc\raw\005947.jpg
005960,7,cat,"[94, 284, 166, 370]",voc\raw\005960.jpg
006027,8,chair,"[150, 203, 198, 344]",voc\raw\006027.jpg
006067,0,aeroplane,"[41, 184, 291, 257]",voc\raw\006067.jpg
006070,2,bird,"[1, 179, 338, 500]",voc\raw\006070.jpg
006111,9,cow,"[111, 89, 472, 301]",voc\raw\006111.jpg
006134,12,horse,"[125, 99, 442, 318]",voc\raw\006134.jpg
006135,18,train,"[221, 143, 266, 183]",voc\raw\006135.jpg
006136,16,sheep,"[54, 183, 166, 262]",voc\raw\006136.jpg
006153,18,train,"[242, 145, 306, 202]",voc\raw\006153.jpg
006162,0,aeroplane,"[38, 100, 445, 215]",voc\raw\006162.jpg
006175,14,person,"[207, 88, 295, 199]",voc\raw\006175.jpg
006208,0,aeroplane,"[2, 106, 499, 266]",voc\raw\006208.jpg
006219,11,dog,"[186, 96, 365, 312]",voc\raw\006219.jpg
006223,6,car,"[128, 90, 426, 266]",voc\raw\006223.jpg
006252,11,dog,"[136, 86, 486, 303]",voc\raw\006252.jpg
006260,7,cat,"[100, 56, 500, 233]",voc\raw\006260.jpg
006264,2,bird,"[193, 38, 339, 348]",voc\raw\006264.jpg
006282,14,person,"[119, 98, 312, 334]",voc\raw\006282.jpg
006301,6,car,"[408, 308, 453, 326]",voc\raw\006301.jpg
006304,3,boat,"[321, 197, 357, 252]",voc\raw\006304.jpg
006305,7,cat,"[205, 77, 429, 375]",voc\raw\006305.jpg
006314,19,tvmonitor,"[103, 114, 354, 373]",voc\raw\006314.jpg
006335,4,bottle,"[290, 28, 367, 298]",voc\raw\006335.jpg
006337,11,dog,"[55, 111, 418, 318]",voc\raw\006337.jpg
006350,0,aeroplane,"[20, 68, 454, 228]",voc\raw\006350.jpg
006377,18,train,"[79, 117, 391, 282]",voc\raw\006377.jpg
006382,12,horse,"[3, 62, 295, 331]",voc\raw\006382.jpg
006404,9,cow,"[121, 232, 176, 270]",voc\raw\006404.jpg
006437,5,bus,"[164, 147, 281, 180]",voc\raw\006437.jpg
006456,11,dog,"[48, 36, 373, 313]",voc\raw\006456.jpg
006468,18,train,"[199, 129, 358, 247]",voc\raw\006468.jpg
006470,2,bird,"[192, 133, 287, 324]",voc\raw\006470.jpg
006523,0,aeroplane,"[189, 186, 312, 230]",voc\raw\006523.jpg
006538,18,train,"[119, 94, 308, 258]",voc\raw\006538.jpg
006543,2,bird,"[174, 25, 309, 160]",voc\raw\006543.jpg
006549,3,boat,"[176, 20, 247, 68]",voc\raw\006549.jpg
006553,8,chair,"[160, 219, 351, 486]",voc\raw\006553.jpg
006587,14,person,"[213, 31, 288, 198]",voc\raw\006587.jpg
006619,0,aeroplane,"[110, 128, 222, 195]",voc\raw\006619.jpg
006636,0,aeroplane,"[26, 75, 355, 238]",voc\raw\006636.jpg
006643,2,bird,"[180, 39, 452, 375]",voc\raw\006643.jpg
006657,7,cat,"[190, 72, 341, 269]",voc\raw\006657.jpg
006687,4,bottle,"[358, 2, 426, 103]",voc\raw\006687.jpg
006703,14,person,"[89, 102, 223, 337]",voc\raw\006703.jpg
006730,18,train,"[5, 174, 465, 338]",voc\raw\006730.jpg
006736,6,car,"[102, 170, 282, 241]",voc\raw\006736.jpg
006747,13,motorbike,"[139, 3, 341, 334]",voc\raw\006747.jpg
006814,19,tvmonitor,"[1, 214, 471, 375]",voc\raw\006814.jpg
006825,2,bird,"[150, 54, 447, 278]",voc\raw\006825.jpg
006838,14,person,"[230, 35, 500, 332]",voc\raw\006838.jpg
006947,19,tvmonitor,"[152, 81, 428, 347]",voc\raw\006947.jpg
006952,2,bird,"[161, 137, 256, 197]",voc\raw\006952.jpg
006995,8,chair,"[243, 174, 339, 339]",voc\raw\006995.jpg
007029,1,bicycle,"[372, 129, 500, 323]",voc\raw\007029.jpg
007050,7,cat,"[135, 93, 310, 332]",voc\raw\007050.jpg
007084,2,bird,"[157, 109, 389, 315]",voc\raw\007084.jpg
007097,0,aeroplane,"[31, 113, 422, 216]",voc\raw\007097.jpg
007123,18,train,"[86, 121, 281, 277]",voc\raw\007123.jpg
007174,13,motorbike,"[238, 186, 320, 271]",voc\raw\007174.jpg
007197,7,cat,"[92, 57, 364, 334]",voc\raw\007197.jpg
007210,19,tvmonitor,"[90, 1, 413, 156]",voc\raw\007210.jpg
007224,18,train,"[144, 107, 291, 221]",voc\raw\007224.jpg
007249,7,cat,"[74, 54, 352, 345]",voc\raw\007249.jpg
007274,0,aeroplane,"[1, 108, 497, 264]",voc\raw\007274.jpg
007318,14,person,"[21, 23, 46, 93]",voc\raw\007318.jpg
007330,14,person,"[124, 14, 487, 330]",voc\raw\007330.jpg
007363,6,car,"[32, 98, 419, 264]",voc\raw\007363.jpg
007419,7,cat,"[172, 66, 479, 339]",voc\raw\007419.jpg
007424,6,car,"[90, 61, 451, 270]",voc\raw\007424.jpg
007467,18,train,"[2, 124, 284, 208]",voc\raw\007467.jpg
007481,2,bird,"[61, 53, 362, 317]",voc\raw\007481.jpg
007489,11,dog,"[198, 42, 491, 372]",voc\raw\007489.jpg
007523,2,bird,"[248, 51, 498, 142]",voc\raw\007523.jpg
007551,1,bicycle,"[49, 65, 252, 485]",voc\raw\007551.jpg
007603,12,horse,"[206, 177, 337, 291]",voc\raw\007603.jpg
007612,11,dog,"[94, 189, 258, 500]",voc\raw\007612.jpg
007618,14,person,"[33, 51, 202, 500]",voc\raw\007618.jpg
007654,0,aeroplane,"[259, 78, 400, 247]",voc\raw\007654.jpg
007663,6,car,"[49, 94, 461, 296]",voc\raw\007663.jpg
007672,17,sofa,"[1, 166, 128, 316]",voc\raw\007672.jpg
007678,2,bird,"[78, 83, 420, 181]",voc\raw\007678.jpg
007679,1,bicycle,"[26, 236, 232, 325]",voc\raw\007679.jpg
007702,19,tvmonitor,"[381, 206, 460, 283]",voc\raw\007702.jpg
007743,3,boat,"[116, 149, 218, 275]",voc\raw\007743.jpg
007758,7,cat,"[54, 50, 196, 215]",voc\raw\007758.jpg
007772,9,cow,"[149, 87, 321, 270]",voc\raw\007772.jpg
007847,2,bird,"[170, 110, 465, 294]",voc\raw\007847.jpg
007853,2,bird,"[86, 177, 350, 452]",voc\raw\007853.jpg
007863,7,cat,"[201, 140, 440, 296]",voc\raw\007863.jpg
007864,0,aeroplane,"[22, 64, 148, 148]",voc\raw\007864.jpg
007876,2,bird,"[226, 181, 316, 308]",voc\raw\007876.jpg
007889,14,person,"[290, 64, 424, 375]",voc\raw\007889.jpg
007899,4,bottle,"[227, 25, 255, 112]",voc\raw\007899.jpg
007910,14,person,"[316, 18, 465, 375]",voc\raw\007910.jpg
007914,2,bird,"[62, 114, 352, 414]",voc\raw\007914.jpg
007921,6,car,"[58, 257, 234, 351]",voc\raw\007921.jpg
007954,11,dog,"[28, 111, 380, 212]",voc\raw\007954.jpg
007968,11,dog,"[132, 1, 341, 287]",voc\raw\007968.jpg
008029,15,pottedplant,"[134, 14, 258, 195]",voc\raw\008029.jpg
008032,2,bird,"[166, 67, 472, 266]",voc\raw\008032.jpg
008037,6,car,"[147, 50, 461, 234]",voc\raw\008037.jpg
008049,19,tvmonitor,"[159, 15, 392, 255]",voc\raw\008049.jpg
008075,11,dog,"[1, 64, 298, 375]",voc\raw\008075.jpg
008085,2,bird,"[54, 173, 100, 219]",voc\raw\008085.jpg
